family,mae,rmse,rmsle,smape,wape,bias
PRODUCE,264.4319153732269,440.62427086611336,0.15778189399804304,0.12078475719677811,0.11553549536044824,0.037559878442910755
BREAD/BAKERY,80.38190588475183,126.24396769036207,0.20790778381861647,0.15539153124156915,0.14878028287460338,0.015908506691579186
MEATS,56.7593562090181,91.7891748865462,0.22942632558328066,0.16755596733662675,0.1527392886539892,-0.017944366833583532
GROCERY I,726.6329055829765,1106.8817894096105,0.20251448583530574,0.15399164636082793,0.15772506825227528,0.010797095083663043
POULTRY,59.61614855772091,127.94302955289966,0.22591874322884462,0.16907219011103775,0.15919245146282554,0.03049794439573174
DELI,49.06911473885211,71.0660745608139,0.21143584026620088,0.16612445767785844,0.16187570320354205,0.03926491821475893
DAIRY,137.8818167892157,215.78467486718054,0.19708033257878985,0.15415344914604495,0.1652209045702177,0.10632123858400086
PREPARED FOODS,16.649571217588417,24.595758034682092,0.2936617506920004,0.2177429988248612,0.18959952429301885,0.03429974420395929
EGGS,38.717677696078425,63.56250134258636,0.3178706354816051,0.22336441987332398,0.19389246752378883,0.02178909052970805
FROZEN FOODS,25.365957483580267,40.02791360133462,0.2899679534246723,0.22026854382951114,0.1992124255767618,0.04387366927882171
BEVERAGES,702.1292211328976,1073.0364032425384,0.2682322083191725,0.20036131099704835,0.2018494157559437,0.015620442344316723
PERSONAL CARE,65.34619247004358,110.9258998305588,0.27062785020463,0.20410345349169212,0.203360252616306,-0.025574704850513597
HOME CARE,60.220171228213516,93.97631406826655,0.2572312212871672,0.19726443621155076,0.2065568631965814,0.03126633951250544
SEAFOOD,4.90888179932411,7.6669765284835805,0.5401470364706444,0.523874225638053,0.24571541440458702,0.053093801961188666
CLEANING,326.9094201048475,550.8979541225167,0.3496915969784191,0.24848263618423935,0.26515052337409234,0.0356318209029467
PLAYERS AND ELECTRONICS,3.5636403867102397,4.928666626099686,0.48426996263990846,0.4359167470783153,0.3053337261124204,-0.005476789089296961
"LIQUOR,WINE,BEER",29.90251395697168,61.58583934739566,0.5171050506138563,0.3517179138605488,0.30723587612019754,-0.08195078580837145
PET SUPPLIES,2.8756808278867108,4.39152298243582,0.4954319945582876,0.5867696340311671,0.34114900937719594,0.04920705753123713
HOME AND KITCHEN I,11.038717830882353,17.148800552439695,0.5094359934172423,0.38461460891132615,0.35297750576914705,-0.012311006008621062
LAWN AND GARDEN,5.278488391884531,8.976677761699372,0.47099006306533336,0.3699912487855593,0.3533168554840591,0.12820395240525712
GROCERY II,10.384752859477125,17.01918916689119,0.5903295886134923,0.45202995135353463,0.3584525776272716,-0.005497594747219331
HOME AND KITCHEN II,11.965550108932462,25.918270036280493,0.4900303254870825,0.3714280783592231,0.38591344559773216,-0.010578035760946652
MAGAZINES,2.810308585239651,4.570480738237081,0.5427641749417653,0.6752721847362634,0.3950710409448517,-0.08853020137439943
AUTOMOTIVE,2.971115876906318,4.002574033294409,0.5355247154640681,0.48373113266466594,0.4022949565345649,-0.02040294255925219
LADIESWEAR,4.198865570533769,6.622825543076354,0.6123128439359967,0.5366422201463806,0.41646422373334596,0.17397754360612347
BEAUTY,2.803113085511983,4.269376906970772,0.5487025189063502,0.6274197464241434,0.42068607015500314,-0.19501323197335213
CELEBRATION,5.317001974400871,7.704965135731979,0.5810245879603967,0.4744185470988111,0.4266242297439035,0.0664885335634997
LINGERIE,4.213920377178649,8.030741791055291,0.6924741300525016,0.6636342258146677,0.5421124487615178,-0.07880270556703921
HARDWARE,1.08898845996732,1.5391365044560175,0.5483915971299215,1.084170295738041,0.7515064132681826,0.027911224393910913
SCHOOL AND OFFICE SUPPLIES,61.67178564133987,159.65322105621254,2.0300310425366677,1.5573273899051547,1.0287561114802133,-0.8900864124972316
BABY CARE,0.25645509940087147,0.559750374793274,0.306711787063852,0.9473416701016005,1.384857536764706,-0.03393841911764708
HOME APPLIANCES,0.5738442946623094,0.7961896565835358,0.47624105419788315,1.7395956746981496,2.865904454267256,1.987164229853791
BOOKS,0.07837180010893247,0.1775442358910278,0.13845684814507447,0.6669152997655414,7.523692810457517,5.7933006535947715
